original_summary,predicted_summary
not very good, great for
makes great cup of java, great coffee
gross, stale
delicious treat, great soup
very good, great taste
kind bar, great snack
this is the only way make, great product
energy, great taste
cats could not eat it, my cats love it
high quality, great product
please do not waste your money, not bad
yummy healthy, my dog loves these
off the, great product
yum, great
great wake up taste, great coffee
great fast service and great product, great product
not baked, not bad
love it, great product
great taste, great product
best choice so far, great coffee
tastes great, great taste
excellent love the blueberry pecan, great taste
in sea salt, great product
delish, great snack
great dog treat, my dog loves these
in please, not the best
no the best, delicious
waste of money, my dog loves these
pretty good, good product
weak but did not bother my stomach, great coffee
the pack threw most of them out, not as advertised
chex calorie snack, great snack
best dr smoothie, great tasting
disapointed, not bad
the yummy, great for breakfast
these are soo good lemon lovers, great candy
great to, great product
love lemonade sparkling ice, great for the price
green tea, great tea
yummy tomatoes good packaging, good but not the best
fantastic, great product
green mountain cup breakfast blend, great price
amazing chips, great chips
love these treats, my dogs love these
by far the best dried in, great taste
single worst coffee ever, not bad
by coconut, not bad
pasta, great product
forever, good product
it works, great
terrific tasting movie theater popcorn, great tasting
very good, great product
super thin pretzel twist taste and texture, great tasting snack
meh, not bad
of flavor, great product
wonderful coffee, great coffee
my dogs love these, my dogs love these
wonderful, my cat loves it
good goat milk, great taste
mustard hot, great product
good for lunch on the go, great soup
favorite, great soup
dents do not, great product
love this stuff, great tea
great purchase, great chips
exceptional coffee, great coffee
amazing treats, my dog loves these
wolfgang puck coffee vanilla, best hot chocolate
love these, love these
they do not like this flavor, cats love it
organic green tea extract, great tea
texas hot sauce, great sauce
tasty biscuits at great price, great product
great snack, great snack
this cereal is really great, great product
everyone loves it, my cats love it
great gift, great
this cookie mix is amazing, great product
good coffee, great coffee
wonderful crunchy apple chips, great taste
best bread flour we have found, great bread
not very good, not bad
easy and good, great popcorn
awesome for lo carb dieters, good stuff
my cats go for these treats, my cats love these
chewy and spicy, great product
much cheaper here, great product
love it and so do, great tasting
tasty good value it is organic, great product
good stuff, great product
yummy, great product
delicious, great product
photo is english walnut not black walnut, not what expected
my favorite, best ever
smells and tastes good, not bad
switched to starbucks, not bad
order, my dogs love these
good price bad taste, not bad
the best, great snack
disappointed, best tea ever
yum, great for baby
pretty tasty no sugar, great tasting
excellent product but buyer beware, good product but
not oz this is oz bag, great price
illy expresso coffee is great, great coffee
this is really delicious, great cookies
my loves these, great product
do they get it so peanut buttery, great for kids
yummy, not that good
delicious snack, not that good
great snack, great tasting
easy and convenient, great for baby
even for gummi candy, great product
coffee for keurig, great coffee
taste of heaven, delicious
only popcorn will eat, great popcorn
sea salt and vinegar chips, great chips
this cookie is awful, not bad
nice and sweet, great product
green tea for keurig, great tea
best solution for dogs with weak, my dog loves it
healthy high quality dog treat, great product
brand, great taste
perfect lollipops, great candy
excellent excellent excellent, great taste
robust coffee, great coffee
lamb ears dog chew box of, my dog loves these
awesome snack, great popcorn
honest brew, great tea
kashi bars subscribe and save, great product
not great peanut butter substitute, great peanut butter
love love love, great sugar
agave nectar, great product
swiss crunch, great cereal
what great cup of coffee, great coffee
exactly as promised, my dogs love these
over priced, not as advertised
good cup of coffee, great coffee
excellent with fish, great product
great tasting popcorn, great popcorn
excellent breakfast, great product
coffee, great coffee
oh sooo, not bad
