original_summary,predicted_summary
not very good, great taste
makes great cup of java, good coffee
gross, yuck
delicious treat, delicious
very good, good
kind bar, great snack
this is the only way make, great product
energy, great product
cats could not eat it, my cats love this
high quality, great
please do not waste your money, awful
yummy healthy, dogs love them
off the, not what expected
yum, great
great wake up taste, great coffee
great fast service and great product, great product
not baked, not as good as expected
love it, great product
great taste, great product
best choice so far, best coffee
tastes great, great taste
excellent love the blueberry pecan, delicious
in sea salt, good product
delish, delicious
great dog treat, great dog food
in please, not as pictured
no the best, great coffee
waste of money, not for my dog
pretty good, great
weak but did not bother my stomach, good coffee
the pack threw most of them out, stale
chex calorie snack, great snack
best dr smoothie, best ever
disapointed, weak
the yummy, great gluten free bread
these are soo good lemon lovers, great syrup
great to, great product
love lemonade sparkling ice, best ramen ever
green tea, great tea
yummy tomatoes good packaging, not as pictured
fantastic, best olive oil
green mountain cup breakfast blend, great coffee
amazing chips, great chips
love these treats, my puppy loves these
by far the best dried in, great
single worst coffee ever, good coffee
by coconut, not bad
pasta, great pasta
forever, not what expected
it works, great product
terrific tasting movie theater popcorn, great popcorn
very good, good product
super thin pretzel twist taste and texture, good but not too sweet
meh, not bad
of flavor, great seasoning
wonderful coffee, bold and bold
my dogs love these, dog food
wonderful, my cats love this
good goat milk, great taste
mustard hot, great product
good for lunch on the go, great
favorite, great
dents do not, not as pictured
love this stuff, great tea
great purchase, great snack
exceptional coffee, great coffee
amazing treats, great treats
wolfgang puck coffee vanilla, great coffee
love these, great gluten free snack
they do not like this flavor, not bad
organic green tea extract, great product
texas hot sauce, hot sauce
tasty biscuits at great price, great product
great snack, great snack
this cereal is really great, great cereal
everyone loves it, cats love it
great gift, great product
this cookie mix is amazing, best gluten free bread
good coffee, great coffee
wonderful crunchy apple chips, great snack
best bread flour we have found, great flour for gluten free baking
not very good, not so good
easy and good, great popcorn
awesome for lo carb dieters, good stuff
my cats go for these treats, cats love it
chewy and spicy, great syrup
much cheaper here, great product
love it and so do, my son loves this
tasty good value it is organic, great product
good stuff, great stuff
yummy, great taste
delicious, dented cans
photo is english walnut not black walnut, stevia
my favorite, love this stuff
smells and tastes good, not so good
switched to starbucks, great coffee
order, great product
good price bad taste, good product
the best, delicious
disappointed, not what expected
yum, great taste
pretty tasty no sugar, good but not too sweet
excellent product but buyer beware, not as pictured
not oz this is oz bag, not as advertised
illy expresso coffee is great, not as good as expected
this is really delicious, delicious
my loves these, great dog food
do they get it so peanut buttery, great snack
