original_text,original_summary,predicted_summary,rouge_scores,wer_scores,cosine_similarity,myevaluation_scores,cs_PS_OT,cs_PS_OS,keyword_overlap,bert_score
daughter used quaker instant oatmeal liked lot long time ago tried version like fact want finish sure maybe lots new ingredients artificial,not very good, not as good as expected,"{'rouge1': Score(precision=0.4, recall=0.6666666666666666, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4, recall=0.6666666666666666, fmeasure=0.5)}",1.0,0.82692873,0.8818973552430696,0.13980425894260406,0.8269288539886475,0.4999999975,0.8989025950431824
liked coffee much subscribing dark rich smooth,makes great cup of java, great coffee,"{'rouge1': Score(precision=0.5, recall=0.2, fmeasure=0.28571428571428575), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=0.2, fmeasure=0.28571428571428575)}",0.8,0.4322182,0.816495235311906,0.7512269020080566,0.4322182536125183,0.1999999996,0.866933286190033
like fool ordered box instead bag try disgusting smell like dead fish rinsed rinsed still smelled right light even look purple crack cannot believe stupid buy,gross, gross,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}",0.0,1.0000001,0.9999999704937241,0.36930394172668457,0.9999995827674866,0.9999999900000002,1.0
flavorful packaged soup long time nice spicy taste good blend herbs cannot wait becomes available stores,delicious treat, great soup,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.51885784,0.8280580419301987,0.6870931386947632,0.5188577771186829,0.0,0.8797088861465454
taste like pop refreshing mouth liked healthier pop great taste refreshing,very good, great flavor,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.52156526,0.8554699856042862,0.6486124396324158,0.5215650200843811,0.0,0.9099560379981995
really good snack pricey worth get em bulk start keep car great bike rides forget,kind bar, great snack,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.15459886,0.7978309109807015,0.538353681564331,0.15459880232810974,0.0,0.8744544386863708
way make pho need beef bones add soup base set even better restaurant,this is the only way make, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.16839257,0.7504962895810604,0.19765785336494446,0.16839279234409332,0.0,0.8207875490188599
husband able tolerate taste felt decent amount energy could stomach taste felt energy,energy, great taste,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",2.0,0.10172776,0.7960459415614606,0.4926758110523224,0.1017276793718338,0.0,0.8765833377838135
know wrong food cats could eat tried would start chewing would fall mouths tried hour avail know size food seem dislike taste could eat,cats could not eat it, my cats love it,"{'rouge1': Score(precision=0.5, recall=0.4, fmeasure=0.4444444444444445), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=0.4, fmeasure=0.4444444444444445)}",0.8,0.40467966,0.8223307102731126,0.3525838851928711,0.40467971563339233,0.249999999375,0.8738923668861389
high quality right amount suger well done,high quality, good product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.666865,0.8224689519405365,0.5534530282020569,0.6668649911880493,0.0,0.8619871139526367
waste money disgusting product chocolate taste tastes like plastic lining paper carton using milk treated ultra high temperatures like fresh milk go get fresh milk hershey syrup want chocolate milk,please do not waste your money, nasty,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.057855032,0.7593894823640586,0.26356399059295654,0.05785522609949112,0.0,0.8392662405967712
dogs love sweet potato chew agreed isnt chewy little nice two little shih tzu usually eat ish minutes dogs love taste love healthy,yummy healthy, my dogs love these,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",2.0,0.081268206,0.7456586401164532,0.5416021943092346,0.08126826584339142,0.0,0.8221887350082397
ordering herr paying shipping amazon amazon prime wide selection amazon herr okay heinz chips makes none better,off the, not as advertised,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.5,0.26858228,0.8140107822418212,0.23268643021583557,0.26858246326446533,0.0,0.883566677570343
