
================================================================================
Custom Evaluation Metric Report - Sorted by Custom Evaluation (Descending)
================================================================================
Generated: 2025-02-27 18:58:15
Total Models/Instances: 15

================================================================================
Rank  | Model                | Instance                                 | Custom Evaluation | Other Metrics
--------------------------------------------------------------------------------
1     | Seq2SeqBiLSTM        | Seq2SeqBiLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size64_epochs50_summaries | 0.3719     | Rouge1: 0.2416, Rouge2: 0.0738, Rougel: 0.0000, Wer: 1.0187, Cosine: 0.4731
2     | Seq2SeqBiLSTM        | Seq2SeqBiLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size128_epochs50_summaries | 0.3593     | Rouge1: 0.2240, Rouge2: 0.0696, Rougel: 0.0000, Wer: 1.0647, Cosine: 0.4631
3     | Seq2SeqLSTMGlove     | Seq2SeqLSTMGlove_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size256_epochs50_summaries | 0.3500     | Rouge1: 0.1927, Rouge2: 0.0562, Rougel: 0.0000, Wer: 1.0803, Cosine: 0.4467
4     | Seq2SeqLSTMGlove     | Seq2SeqLSTMGlove_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size64_epochs50_summaries | 0.3454     | Rouge1: 0.1861, Rouge2: 0.0519, Rougel: 0.0000, Wer: 1.1131, Cosine: 0.4378
5     | Seq2SeqBiLSTM        | Seq2SeqBiLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size256_epochs50_summaries | 0.3426     | Rouge1: 0.2075, Rouge2: 0.0575, Rougel: 0.0000, Wer: 1.0895, Cosine: 0.4431
6     | Seq2SeqGRU           | Seq2SeqGRU_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size64_epochs50_summaries | 0.3386     | Rouge1: 0.1884, Rouge2: 0.0563, Rougel: 0.0000, Wer: 1.1173, Cosine: 0.4445
7     | Seq2SeqLSTMGlove     | Seq2SeqLSTMGlove_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size128_epochs50_summaries | 0.3369     | Rouge1: 0.1798, Rouge2: 0.0472, Rougel: 0.0000, Wer: 1.0877, Cosine: 0.4314
8     | Seq2SeqLSTM          | Seq2SeqLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size128_epochs50_summaries | 0.3342     | Rouge1: 0.1702, Rouge2: 0.0453, Rougel: 0.0000, Wer: 1.0826, Cosine: 0.4400
9     | Seq2SeqLSTM          | Seq2SeqLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size256_epochs50_summaries | 0.3317     | Rouge1: 0.1629, Rouge2: 0.0407, Rougel: 0.0000, Wer: 1.0963, Cosine: 0.4374
10    | Seq2SeqGRU           | Seq2SeqGRU_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size128_epochs50_summaries | 0.3289     | Rouge1: 0.1656, Rouge2: 0.0417, Rougel: 0.0000, Wer: 1.0916, Cosine: 0.4294
11    | Seq2SeqLSTM          | Seq2SeqLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size64_epochs50_summaries | 0.3241     | Rouge1: 0.1607, Rouge2: 0.0454, Rougel: 0.0000, Wer: 1.1331, Cosine: 0.4266
12    | Seq2Seq3BiLSTM       | Seq2Seq3BiLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size256_epochs50_summaries | 0.3230     | Rouge1: 0.1665, Rouge2: 0.0435, Rougel: 0.0000, Wer: 1.1382, Cosine: 0.4318
13    | Seq2Seq3BiLSTM       | Seq2Seq3BiLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size64_epochs50_summaries | 0.3166     | Rouge1: 0.1588, Rouge2: 0.0383, Rougel: 0.0000, Wer: 1.1611, Cosine: 0.4198
14    | Seq2Seq3BiLSTM       | Seq2Seq3BiLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size128_epochs50_summaries | 0.3131     | Rouge1: 0.1564, Rouge2: 0.0411, Rougel: 0.0000, Wer: 1.1440, Cosine: 0.4189
15    | Seq2SeqGRU           | Seq2SeqGRU_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size256_epochs50_summaries | 0.2811     | Rouge1: 0.1290, Rouge2: 0.0255, Rougel: 0.0000, Wer: 1.1170, Cosine: 0.3899
