original_summary,predicted_summary
not very good, great
makes great cup of java, great coffee
gross, not what expected
delicious treat, great product
very good, great flavor
kind bar, great snack
this is the only way make, great taste
energy, great product
cats could not eat it, my cats love it
high quality, great product
please do not waste your money, not as advertised
yummy healthy, my dogs love these
off the, great product
yum, great snack
great wake up taste, great coffee
great fast service and great product, great product
not baked, not bad
love it, great product
great taste, great
best choice so far, great flavor
tastes great, good taste
excellent love the blueberry pecan, great snack
in sea salt, great product
delish, great snack
great dog treat, great for training
in please, not as advertised
no the best, great coffee
waste of money, my dog loves these
pretty good, great
weak but did not bother my stomach, great coffee
the pack threw most of them out, not what expected
chex calorie snack, great snack
best dr smoothie, great flavor
disapointed, not bad
the yummy, great snack
these are soo good lemon lovers, great cereal
great to, great product
love lemonade sparkling ice, great
green tea, great tea
yummy tomatoes good packaging, great product
fantastic, great product
green mountain cup breakfast blend, great coffee
amazing chips, great chips
love these treats, my dogs love these
by far the best dried in, great for
single worst coffee ever, great coffee
by coconut, not bad
pasta, best ever
forever, not what expected
it works, great product
terrific tasting movie theater popcorn, great taste
very good, good stuff
super thin pretzel twist taste and texture, best ever
meh, not bad
of flavor, great for
wonderful coffee, great coffee
my dogs love these, my dog loves these
wonderful, cat food
good goat milk, great
mustard hot, not as good as expected
good for lunch on the go, good stuff
favorite, good
dents do not, not as advertised
love this stuff, great tea
great purchase, great chips
exceptional coffee, great coffee
amazing treats, my dog loves these
wolfgang puck coffee vanilla, great
love these, yummy
they do not like this flavor, cats love it
organic green tea extract, great tea
texas hot sauce, best hot sauce
tasty biscuits at great price, great product
great snack, great snack
this cereal is really great, great for the go
everyone loves it, cat loves it
great gift, great product
this cookie mix is amazing, great gluten free pasta
good coffee, great coffee
wonderful crunchy apple chips, great rice
best bread flour we have found, great
not very good, not as good as expected
easy and good, great popcorn
awesome for lo carb dieters, great taste
my cats go for these treats, my cats love these
chewy and spicy, great
much cheaper here, good product
love it and so do, my dog loves it
tasty good value it is organic, great popcorn
good stuff, great coffee
yummy, great taste
delicious, dented cans
photo is english walnut not black walnut, good gum
my favorite, best ever
smells and tastes good, not bad
switched to starbucks, great coffee
order, great product
good price bad taste, not as good as all
the best, great chips
disappointed, great product
yum, great product
pretty tasty no sugar, tasty
excellent product but buyer beware, great product
not oz this is oz bag, not what expected
illy expresso coffee is great, great coffee
this is really delicious, great snack
my loves these, dog loves them
do they get it so peanut buttery, great snack
yummy, yummy
delicious snack, my dog loves it
great snack, great taste
easy and convenient, great for my baby
even for gummi candy, great product
coffee for keurig, great coffee
taste of heaven, great cereal
only popcorn will eat, great popcorn
sea salt and vinegar chips, best chips ever
this cookie is awful, not bad
nice and sweet, great taste
green tea for keurig, great tea
best solution for dogs with weak, great product
healthy high quality dog treat, my dog loves them
brand, great popcorn
perfect lollipops, great gift
excellent excellent excellent, great flavor
robust coffee, great coffee
lamb ears dog chew box of, great product
awesome snack, great for gluten free
honest brew, great tea
kashi bars subscribe and save, great snack
not great peanut butter substitute, delicious
love love love, great product
agave nectar, great product
swiss crunch, great cereal
what great cup of coffee, not good
exactly as promised, great product
over priced, not as advertised
good cup of coffee, great coffee
excellent with fish, great product
great tasting popcorn, great popcorn
excellent breakfast, great snack
coffee, great coffee
oh sooo, yummy
great for kids on the go, great snack
great tasting healthy cereal, great cereal
what, great product
smooth move, great tea
so far so good, great product
great tasting tea for cold, great tea
star to much, not what expected
really great flavor, good stuff
why cannot find this locally, great coffee
goooood gravy, great
delicious, great
decent flavor it is expensive, good stuff
diamond glazed walnuts, great product
the best there is, delicious
love it, great for
my love it, my dog loves it
kellogg granola raisins, great cereal
folgers black silk oz can, good product
it is not bad, great taste
stale beans, bad
cup holder, great decaf
great coffee, great coffee
great coffee, great coffee
great, great coffee
this shampoo has no only, not as advertised
