original_summary,predicted_summary
not very good, good but not great
makes great cup of java, great coffee
gross, not bad
delicious treat, great
very good, great taste
kind bar, great snack
this is the only way make, great product
energy, not bad
cats could not eat it, my cat loves this food
high quality, great taste
please do not waste your money, not bad
yummy healthy, my dogs love these
off the, great taste
yum, great snack
great wake up taste, great coffee
great fast service and great product, great product
not baked, not bad
love it, great product
great taste, great taste
best choice so far, great taste
tastes great, tastes like plastic
excellent love the blueberry pecan, great taste
in sea salt, price
delish, great snack
great dog treat, my dog loves this
in please, not as advertised
no the best, great taste
waste of money, great product
pretty good, great
weak but did not bother my stomach, good coffee
the pack threw most of them out, not as good as expected
chex calorie snack, great
best dr smoothie, great flavor
disapointed, good coffee
the yummy, great for breakfast
these are soo good lemon lovers, great for
great to, great flavor
love lemonade sparkling ice, great for
green tea, great tea
yummy tomatoes good packaging, great product
fantastic, great taste
green mountain cup breakfast blend, great coffee
amazing chips, great chips
love these treats, my dog loves these
by far the best dried in, great for
single worst coffee ever, good coffee
by coconut, good but not great
pasta, delicious
forever, not bad
it works, great taste
terrific tasting movie theater popcorn, great product
very good, great product
super thin pretzel twist taste and texture, great for
meh, good taste
of flavor, great for
wonderful coffee, great coffee
my dogs love these, great product
wonderful, my cat loves this food
good goat milk, great taste
mustard hot, great product
good for lunch on the go, great flavor
favorite, delicious
dents do not, dented cans
love this stuff, great tea
great purchase, great snack
exceptional coffee, great coffee
amazing treats, my dog loves these
wolfgang puck coffee vanilla, great
love these, great snack
they do not like this flavor, great product
organic green tea extract, great tea
texas hot sauce, hot sauce
tasty biscuits at great price, great for
great snack, great for
this cereal is really great, great snack
everyone loves it, great for
great gift, awesome
this cookie mix is amazing, great gluten free snack
good coffee, great coffee
wonderful crunchy apple chips, great snack
best bread flour we have found, good product
not very good, not too good
easy and good, great popcorn
awesome for lo carb dieters, not too salty
my cats go for these treats, my cat loves this food
chewy and spicy, great product
much cheaper here, great product
love it and so do, my baby loves this food
tasty good value it is organic, great taste
good stuff, the best
yummy, great product
delicious, dented cans
photo is english walnut not black walnut, not bad
my favorite, great flavor
smells and tastes good, not bad
switched to starbucks, good coffee
order, great product
good price bad taste, not bad
the best, great snack
disappointed, good stuff
yum, great for
pretty tasty no sugar, good for breakfast
excellent product but buyer beware, dented cans
not oz this is oz bag, not as advertised
illy expresso coffee is great, good coffee
this is really delicious, great for on the go
my loves these, great for
do they get it so peanut buttery, great snack
yummy, great for
delicious snack, good product
great snack, good
easy and convenient, great for
even for gummi candy, great for
coffee for keurig, good coffee
taste of heaven, love this stuff
only popcorn will eat, great popcorn
sea salt and vinegar chips, pop chips
this cookie is awful, not bad
nice and sweet, good but not great
green tea for keurig, great tea
best solution for dogs with weak, good dog food
healthy high quality dog treat, my cat loves this
brand, great
perfect lollipops, great product
excellent excellent excellent, great taste
robust coffee, great coffee
lamb ears dog chew box of, great product
awesome snack, great
honest brew, great tea
kashi bars subscribe and save, great snack
not great peanut butter substitute, not bad
love love love, great product
agave nectar, great product
swiss crunch, great snack
what great cup of coffee, good coffee
exactly as promised, great product
over priced, not as advertised
good cup of coffee, good coffee
excellent with fish, great product
great tasting popcorn, great popcorn
excellent breakfast, great for breakfast
coffee, great coffee
oh sooo, great for
great for kids on the go, great snack
great tasting healthy cereal, great cereal
what, not as good as
smooth move, love this tea
so far so good, good product
great tasting tea for cold, tea
star to much, not bad
really great flavor, good stuff
why cannot find this locally, great coffee
goooood gravy, great
delicious, delicious
decent flavor it is expensive, not bad
diamond glazed walnuts, great product
the best there is, great flavor
love it, great for cooking
my love it, my dog loves this
kellogg granola raisins, great cereal
folgers black silk oz can, not as advertised
it is not bad, great taste
stale beans, not bad
cup holder, great tea
great coffee, great coffee
great coffee, great coffee
great, great coffee
this shampoo has no only, not the same as the price
stale, good but not great
very weak flavor, not bad
better than ever, great taste
just like regular spaghetti, great gluten free pasta
all broken up, good product
watch out here comes, great snack
greenies dental chews, great for your dog
excellent, great gift
bran buds now at your, great taste
just okay had better, great flavor
excellent product, great gift
oil this is very good for us, great taste
great flavor with out the salt, good
better price is available, great product
my dog loves these, great product
great cocoa, great taste
sweet service five stars, great product
wonderful and flavorful even decaf, good coffee
yum, great
tea, tea
heavenly taste experience, great flavor
love love love em, great for
feel the love of love crunch, great for breakfast
different than your standard lemonade, not bad
safe easy to chew tasty, my dog loves these
great pancakes, great for
great product for dogs, great treats
high quality food but, not as advertised
not potato chips, not too salty
excellent snack, great snack
greatest tea in the world, great tea
baking soda, great product
simply delicious, great product
clean fresh taste to me, good stuff
loves it, my dog loves this food
wonderfully convenient, great
great tasting, great tea
great quality cats love it, my cats love this food
great pump for bottles purchased for, not as good as expected
as advertised, great
yum, great taste
arrived melted together, not bad
favorite of all, tea
wonderful snack item, great taste
tasty but make sure you have gum, great chips
refreshing addition to water, good taste
this product is of quality, great product
good taste and healthier choice, not bad
wonderful blend of flavors, great snack
pop tarts are awesome, great product
convenient and tasty, great
wow, great taste
review, great treats
it really works, great product
delicious, great for
tried this bar and loved it, good for you
great birthday gift, great gift
dont waste your money, not too hot
favorite, my dog loves these
quick and reliable service great product, love this tea
