original_summary,predicted_summary
not very good, great taste
makes great cup of java, great coffee
gross, not as good as other
delicious treat, great taste
very good, not bad
kind bar, great snack
this is the only way make, great taste
energy, good stuff
cats could not eat it, cat food
high quality, great product
please do not waste your money, not bad
yummy healthy, dogs love them
off the, good product
yum, great snack
great wake up taste, great coffee
great fast service and great product, great product
not baked, not bad
love it, great
great taste, great taste
best choice so far, love this stuff
tastes great, not as good as hoped
excellent love the blueberry pecan, great taste
in sea salt, great product
delish, great snack
great dog treat, great for your dog
in please, not what expected
no the best, great coffee
waste of money, great for dogs
pretty good, great
weak but did not bother my stomach, great coffee
the pack threw most of them out, not as advertised
chex calorie snack, great snack
best dr smoothie, best flavor
disapointed, good coffee
the yummy, great tasting snack
these are soo good lemon lovers, great product
great to, great product
love lemonade sparkling ice, great product
green tea, great tea
yummy tomatoes good packaging, good product
fantastic, great product
green mountain cup breakfast blend, great coffee
amazing chips, great chips
love these treats, great for dogs
by far the best dried in, best rice ever
single worst coffee ever, great coffee
by coconut, good stuff
pasta, great product
forever, not what expected
it works, great product
terrific tasting movie theater popcorn, best chocolate ever
very good, great product
super thin pretzel twist taste and texture, great snack
meh, not what expected
of flavor, great stuff
wonderful coffee, great coffee
my dogs love these, great for dogs
wonderful, cat food
good goat milk, great product
mustard hot, good product
good for lunch on the go, good stuff
favorite, good stuff
dents do not, not as advertised
love this stuff, great tea
great purchase, great chips
exceptional coffee, great coffee
amazing treats, great for training
wolfgang puck coffee vanilla, great
love these, great taste
they do not like this flavor, cats like it
organic green tea extract, great tea
texas hot sauce, good stuff
tasty biscuits at great price, great product
great snack, great product
this cereal is really great, great product
everyone loves it, cat food
great gift, great product
this cookie mix is amazing, great tasting
good coffee, great coffee
wonderful crunchy apple chips, great for the go
best bread flour we have found, best ever
not very good, not bad
easy and good, great popcorn
awesome for lo carb dieters, great product
my cats go for these treats, great treats
chewy and spicy, great product
much cheaper here, great product
love it and so do, great for the
tasty good value it is organic, great
good stuff, great taste
yummy, great taste
delicious, dented cans
photo is english walnut not black walnut, not the best
my favorite, best ever
smells and tastes good, great product
switched to starbucks, great coffee
order, great for training
good price bad taste, great product
the best, great snack
disappointed, not what expected
yum, great for
pretty tasty no sugar, great taste
excellent product but buyer beware, not as good as
not oz this is oz bag, not what expected
illy expresso coffee is great, good coffee
this is really delicious, great tasting snack
my loves these, great food
do they get it so peanut buttery, great for
yummy, great product
delicious snack, not for
great snack, good but not too sweet
easy and convenient, great product
even for gummi candy, great product
coffee for keurig, good coffee
taste of heaven, great
only popcorn will eat, great popcorn
sea salt and vinegar chips, not bad
this cookie is awful, not bad
nice and sweet, great flavor
green tea for keurig, great tea
best solution for dogs with weak, great for dogs
healthy high quality dog treat, great for training
brand, great
perfect lollipops, great gift
excellent excellent excellent, great taste
robust coffee, great coffee
lamb ears dog chew box of, great product
awesome snack, great snack
honest brew, great tea
kashi bars subscribe and save, great product
not great peanut butter substitute, great taste
love love love, great product
agave nectar, great product
swiss crunch, great cereal
what great cup of coffee, not as good as hoped
exactly as promised, great product
over priced, great product
good cup of coffee, great coffee
excellent with fish, great
great tasting popcorn, great popcorn
excellent breakfast, great snack
coffee, great coffee
oh sooo, great taste
great for kids on the go, great snack
great tasting healthy cereal, great cereal
what, great product
smooth move, great tea
so far so good, great product
great tasting tea for cold, great tea
star to much, not what expected
really great flavor, good stuff
why cannot find this locally, great coffee
goooood gravy, great taste
delicious, great
decent flavor it is expensive, great taste
diamond glazed walnuts, great product
the best there is, best flavor
love it, great flavor
my love it, great food
kellogg granola raisins, great snack
folgers black silk oz can, not what expected
it is not bad, good but not great
stale beans, not bad
cup holder, great tea
great coffee, great coffee
great coffee, great coffee
great, great coffee
this shampoo has no only, not as advertised
stale, great cookies
very weak flavor, not as good as hoped
better than ever, great product
just like regular spaghetti, great gluten free pasta
all broken up, good product
watch out here comes, great
greenies dental chews, great for training
excellent, great product
bran buds now at your, great
just okay had better, great flavor
excellent product, great product
oil this is very good for us, great product
great flavor with out the salt, great taste
better price is available, great product
my dog loves these, great product
great cocoa, great coffee
sweet service five stars, great product
wonderful and flavorful even decaf, great coffee
yum, great
tea, great tea
heavenly taste experience, great taste
love love love em, great stuff
feel the love of love crunch, great for
different than your standard lemonade, not so good
safe easy to chew tasty, great for training
great pancakes, great for
great product for dogs, great for training
high quality food but, great product
not potato chips, not good
excellent snack, great snack
greatest tea in the world, great tea
baking soda, great product
simply delicious, great for
clean fresh taste to me, good stuff
loves it, great for
wonderfully convenient, great product
great tasting, great tea
great quality cats love it, great food
great pump for bottles purchased for, not the best
as advertised, great
yum, great product
arrived melted together, stale
favorite of all, great tea
wonderful snack item, great for
tasty but make sure you have gum, great chips
refreshing addition to water, great taste
this product is of quality, great product
good taste and healthier choice, not as good as other
wonderful blend of flavors, great snack
pop tarts are awesome, great
convenient and tasty, best rice
wow, great product
review, dogs love them
it really works, great product
delicious, great snack
tried this bar and loved it, great snack
great birthday gift, great food
dont waste your money, not bad
favorite, great for dogs
quick and reliable service great product, great tea
love love them, delicious
happy customer, great product
fast food at home, great product
double bagged, great gift
for tough chewers, great for dogs
addictive little cookie, great snack
tastes awful, not bad
product, not what expected
delightful, great product
very good gluten free pasta, great gluten free pasta
delish, great tea
what confused me, great product
great for kids, great
good but little too sweet, chocolate
sauce, great rice
blech, not bad
excellent gift item, great product
one of my favorite spices, best sauce ever
amazing product, great product
healthy and refreshing, great gum
love it, great food
terrible beans, not bad
very flavorful, great taste
thank you, great product
for company, great product
stale, stale
loves these, great for training
love it, great coffee
popchips, great chips
love love this, great food
love this tea, great tea
healthy and tasty, great snack
great quick cup of coffee, great coffee
horrible, not bad
another awsome jerky, good stuff
should have better, not bad
southern pecan coffee, great coffee
no carb option, great taste
long lasting favorite, dogs love them
delicious, love this tea
almonds, great product
great product, great product
delicious, great product
simply superb, great product
tasteless, not what expected
great dr pepper product, great product
good option, great product
love at first bite, great snack
bit pricey, great product
great sprouting, great product
kind of gross, great tasting
tea that works to clear all digestive, great tea
delicious, good chocolate
cocoa, great product
very weak, not as good as hoped
love it, great tea
not as advertised, not as advertised
last forever, great product
best and tortilla chips, great chips
best water ever, great product
quite good, great tea
ok, great for dogs
made great, great product
excellent, great popcorn
these are weird, not as advertised
love this coffee, great coffee
mm tasty, great
great product but price keeps going up, great flavor
pasta couscous, great product
great taste keep me up, great flavor
melted from, not as advertised
these are great, good
dog gone good, great for training
good product, great product
false dont waste your money, not as advertised
very good, great tea
good flavor, good stuff
disgusting, not as advertised
