original_summary,predicted_summary
not very good, not as good as the others
makes great cup of java, great coffee
gross, not bad
delicious treat, great soup
very good, great tasting
kind bar, great snack
this is the only way make, great product
energy, energy energy boost
cats could not eat it, my cats love this
high quality, great
please do not waste your money, not bad
yummy healthy, great treats
off the, great product
yum, great
great wake up taste, great coffee
great fast service and great product, great product
not baked, not bad
love it, great cereal
great taste, great tasting milk
best choice so far, great taste
tastes great, great coffee
excellent love the blueberry pecan, great for
in sea salt, great product
delish, great snack
great dog treat, great dog food
in please, not what expected
no the best, great coffee
waste of money, my dog loves these
pretty good, great
weak but did not bother my stomach, not bad
the pack threw most of them out, not bad
chex calorie snack, great price
best dr smoothie, great taste
disapointed, not good
the yummy, delicious
these are soo good lemon lovers, haribo gummi bears
great to, great product
love lemonade sparkling ice, great tasting
green tea, great tea
yummy tomatoes good packaging, good but not great
fantastic, great product
green mountain cup breakfast blend, great coffee
amazing chips, great chips
love these treats, great treats
by far the best dried in, delicious
single worst coffee ever, great coffee
by coconut, not the best
pasta, best pasta ever
forever, not as good as thought
it works, great product
terrific tasting movie theater popcorn, great popcorn
very good, good product
super thin pretzel twist taste and texture, great tasting
meh, not good
of flavor, great for cooking
wonderful coffee, great coffee
my dogs love these, great dog food
wonderful, cat loves it
good goat milk, great taste
mustard hot, great product
good for lunch on the go, great flavor
favorite, great
dents do not, great product
love this stuff, great tea
great purchase, great chips
exceptional coffee, great coffee
amazing treats, my dog loves these
wolfgang puck coffee vanilla, great coffee
love these, yummy
they do not like this flavor, cats love it
organic green tea extract, good tea
texas hot sauce, great sauce
tasty biscuits at great price, great product
great snack, great snack
this cereal is really great, great tasting
everyone loves it, cat loves it
great gift, great gift
this cookie mix is amazing, great cookies
good coffee, great coffee
wonderful crunchy apple chips, great snack
best bread flour we have found, great product
not very good, not as good as hoped
easy and good, great popcorn
awesome for lo carb dieters, good but not great
my cats go for these treats, my cats love these
chewy and spicy, great product
much cheaper here, great product
love it and so do, great for baby food
tasty good value it is organic, great syrup
good stuff, great tasting
yummy, great taste
delicious, dented cans
photo is english walnut not black walnut, not so good
my favorite, best tasting
smells and tastes good, great tasting
switched to starbucks, great coffee
order, great product
good price bad taste, not as good as expected
the best, great cookies
disappointed, great taste
yum, great for
pretty tasty no sugar, great tasting bar
excellent product but buyer beware, dog loves it
not oz this is oz bag, not as advertised
illy expresso coffee is great, great coffee
this is really delicious, best cookies ever
my loves these, great dog food
do they get it so peanut buttery, great snack
yummy, great tasting
delicious snack, not as pictured
great snack, good taste
easy and convenient, great for
even for gummi candy, love these
coffee for keurig, good coffee
taste of heaven, delicious
only popcorn will eat, great popcorn
sea salt and vinegar chips, great chips
this cookie is awful, not as good as hoped
nice and sweet, good tasting
green tea for keurig, great tea
best solution for dogs with weak, my dog loves this
healthy high quality dog treat, great treat
brand, great
perfect lollipops, great
excellent excellent excellent, great tasting
robust coffee, great coffee
lamb ears dog chew box of, great product
awesome snack, great snack
honest brew, great tea
kashi bars subscribe and save, great for breakfast
not great peanut butter substitute, not bad
love love love, great taste
agave nectar, great product
swiss crunch, great cereal
what great cup of coffee, not as good as hoped
exactly as promised, great dog food
over priced, not as advertised
good cup of coffee, good coffee
excellent with fish, great product
great tasting popcorn, great popcorn
excellent breakfast, great for
coffee, great coffee
oh sooo, great
great for kids on the go, great snack
great tasting healthy cereal, great cereal
what, great product
smooth move, great tea
so far so good, great product
great tasting tea for cold, great tea
star to much, not what expected
really great flavor, great
why cannot find this locally, best coffee ever
goooood gravy, great
delicious, delicious
decent flavor it is expensive, not so good
diamond glazed walnuts, great product
the best there is, great taste
love it, great tasting sauce
my love it, great for my dog
kellogg granola raisins, great cereal
folgers black silk oz can, not as advertised
it is not bad, good but not great
stale beans, not as advertised
cup holder, great tea
great coffee, great coffee
great coffee, great coffee
great, great coffee
this shampoo has no only, not bad
stale, stale
very weak flavor, not bad
better than ever, great tasting
just like regular spaghetti, great tasting
all broken up, great product
watch out here comes, great for
greenies dental chews, great dog toy
excellent, great gift
bran buds now at your, great
just okay had better, best tasting olive oil
excellent product, great product
oil this is very good for us, great product
great flavor with out the salt, great salt
better price is available, great product
my dog loves these, great dog food
great cocoa, great coffee
sweet service five stars, great product
wonderful and flavorful even decaf, great coffee
yum, great
tea, great tea
heavenly taste experience, great tasting
love love love em, great
feel the love of love crunch, great cereal
different than your standard lemonade, not so good
safe easy to chew tasty, my dog loves these
great pancakes, great tasting
great product for dogs, great treat
high quality food but, not for chewer
not potato chips, not bad
excellent snack, great snack
greatest tea in the world, great tea
baking soda, great product
simply delicious, great candy
clean fresh taste to me, coconut water
loves it, my dog loves these
wonderfully convenient, great
great tasting, great tea
great quality cats love it, great food
great pump for bottles purchased for, good product
as advertised, great
yum, great honey
arrived melted together, melted
favorite of all, great tea
wonderful snack item, great for gluten free
tasty but make sure you have gum, not good
refreshing addition to water, great taste
this product is of quality, not as advertised
good taste and healthier choice, not bad
wonderful blend of flavors, great snack
pop tarts are awesome, great
convenient and tasty, great tasting
wow, great tasting
review, dog treats
it really works, great product
delicious, great snack
tried this bar and loved it, great for on the go
great birthday gift, great
dont waste your money, not the best
favorite, dog loves them
quick and reliable service great product, great tea
love love them, love these
happy customer, great product
fast food at home, great taste
double bagged, great
for tough chewers, my dog loves these
addictive little cookie, great
tastes awful, not bad
product, not as pictured
delightful, great product
very good gluten free pasta, great gluten free pasta
delish, great tea
what confused me, great gift
great for kids, great
good but little too sweet, chocolate
sauce, great product
blech, not bad
excellent gift item, great gift
one of my favorite spices, great flavor
amazing product, great product
healthy and refreshing, coconut water
love it, great for baby food
terrible beans, not bad
very flavorful, great taste
thank you, great
for company, great product
stale, not as good as remember
loves these, my dog loves these
love it, great coffee
popchips, great chips
love love this, great for
love this tea, great tea
healthy and tasty, great for school
great quick cup of coffee, great coffee
horrible, not bad
another awsome jerky, best jerky ever
should have better, not so good
southern pecan coffee, great coffee
no carb option, not good
long lasting favorite, dogs love them
delicious, great tasting
almonds, good but not great
great product, great product
delicious, great product
simply superb, great tea
tasteless, not my favorite
great dr pepper product, great taste
good option, not as advertised
love at first bite, my dog loves these
bit pricey, good but pricey
great sprouting, great
kind of gross, great tasting
tea that works to clear all digestive, great tea
delicious, great chocolate
cocoa, great product
very weak, not good
love it, great tea
not as advertised, not as pictured
last forever, not as advertised
best and tortilla chips, great chips
best water ever, best chai ever
quite good, great tea
ok, great for dogs
made great, great product
excellent, great popcorn
these are weird, not bad
love this coffee, not my favorite
mm tasty, great
great product but price keeps going up, coconut water
pasta couscous, great product at great price
great taste keep me up, great tasting
melted from, not as pictured
these are great, not as good as the others
dog gone good, great dog food
good product, great product
false dont waste your money, not bad
very good, great tea
good flavor, good flavor
disgusting, not so good
pistachio is pistachio is pistachio, not as advertised
sugar free gum, great gum
yum, great seasoning
my husband loves this product, great sauce
great cereal, great cereal
gluten free bread that actually tastes good, great tasting
you need to try this, great tasting
the best popcorn have ever tasted, great popcorn
sweet and sour pops got sweet pops, not as advertised
yum, great snack
tastes pretty good, not bad
incredible price, great price at great price
wonderful, great syrup
an excellent product, great product
great flavor, great
thai sticky sweet rice, rice
very good, great tea
not happy, not as advertised
wolfgang puck dark roast, not good
you just do not need the caffeine, great coffee
delicious but purchase elsewhere, great cereal
fun, great
great treat for my dog, great treat
kind chocolate cherry cashew, great tasting bar
better then the big box store, not as advertised
it is of taste, great coffee
disappointed, not as good as expected
delicious just like salt and vinegar chips, great chips
great bargain great fruit very impressed, great product
great big good tasting cup of coffee, great coffee
not my cup of tea, not bad
cups work great coffee fantastic, great coffee
best chocolate waffle have found, great
great and easy, great cookies
tasty alternative to peanut butter, great peanut butter
yum, great popcorn
love it, great product
good chips, too salty
full flavored, great coffee
product treat for dogs with allergy issues, great treats
honey almond flax granola kashi bars, great snack
best hot cocoa yet, the best hot cocoa
delicious curry, not as pictured
zico water is the best, great tasting
great price, great price
remember bars, great for on the go
must have, great
good price good product, great product
paris tea by harney sons, great tea
excellent sugar free cooked pudding, great product
great package, great product
best bean soup in bag, soup
great product, good stuff
classic candy gum very, great for
refreshing and the chocolate, great taste
awesome, great
catnip, great cat food
handy package for equal, great coffee
scrumptious, great breakfast
wonderful, great dog food
excellent quality assortment, great product
sugar substitute, great taste
love these, great for breakfast
perfect for our food allergy child, great snack for kids
misleading, not as advertised
my dogs for more, great treats
perfect for stir fry, not bad
delicious, great taste
amazing, great sugar free sugar free
wow, great chips
really tasty, great cereal
great for pops, great product
best birthday gift loved by as well, great gift
delicious, delicious
yum, great snack
lemon drops, great flavor
too good to pass up, great tasting
