original_text,original_summary,predicted_summary,rouge_scores,wer_scores,cosine_similarity,myevaluation_scores,cs_PS_OT,cs_PS_OS,keyword_overlap
daughter used quaker instant oatmeal liked lot long time ago tried version like fact want finish sure maybe lots new ingredients artificial,not very good, good taste,"{'rouge1': Score(precision=0.5, recall=0.3333333333333333, fmeasure=0.4), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=0.3333333333333333, fmeasure=0.4)}",1.0,0.37339735,0.345331,0.31726474,0.37339732,0.4999999975
liked coffee much subscribing dark rich smooth,makes great cup of java, great coffee,"{'rouge1': Score(precision=0.5, recall=0.2, fmeasure=0.28571428571428575), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=0.2, fmeasure=0.28571428571428575)}",0.8,0.4322182,0.5917227,0.7512272,0.4322183,0.1999999996
like fool ordered box instead bag try disgusting smell like dead fish rinsed rinsed still smelled right light even look purple crack cannot believe stupid buy,gross, gross,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}",0.0,1.0000001,0.68465185,0.36930388,0.9999999,0.9999999900000002
flavorful packaged soup long time nice spicy taste good blend herbs cannot wait becomes available stores,delicious treat, great seasoning,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.19652686,0.15367536,0.110823885,0.19652684,0.0
taste like pop refreshing mouth liked healthier pop great taste refreshing,very good, great gum,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.4356504,0.460877,0.4861036,0.43565038,0.0
really good snack pricey worth get em bulk start keep car great bike rides forget,kind bar, great snack,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.15459886,0.3464763,0.53835374,0.15459883,0.0
way make pho need beef bones add soup base set even better restaurant,this is the only way make, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.16839257,0.18302539,0.19765794,0.16839284,0.0
husband able tolerate taste felt decent amount energy could stomach taste felt energy,energy, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",2.0,0.26742345,0.23097935,0.19453526,0.26742345,0.0
know wrong food cats could eat tried would start chewing would fall mouths tried hour avail know size food seem dislike taste could eat,cats could not eat it, my cat loves it,"{'rouge1': Score(precision=0.5, recall=0.4, fmeasure=0.4444444444444445), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=0.4, fmeasure=0.4444444444444445)}",0.8,0.32870921,0.33665097,0.34459263,0.3287093,0.0
high quality right amount suger well done,high quality, great,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.46026814,0.437191,0.41411394,0.46026808,0.0
waste money disgusting product chocolate taste tastes like plastic lining paper carton using milk treated ultra high temperatures like fresh milk go get fresh milk hershey syrup want chocolate milk,please do not waste your money, gross,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.15500015,0.25864545,0.36229062,0.15500027,0.0
dogs love sweet potato chew agreed isnt chewy little nice two little shih tzu usually eat ish minutes dogs love taste love healthy,yummy healthy, my dog loves these,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",2.0,0.18102957,0.32461888,0.46820822,0.1810295,0.0
ordering herr paying shipping amazon amazon prime wide selection amazon herr okay heinz chips makes none better,off the, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.2099292,0.2503083,0.29068726,0.20992933,0.0
love larabars first discovered giving free event loved since good,yum, great snack,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",2.0,0.20587805,0.16615386,0.12642986,0.20587787,0.0
blend bitter wake mild end makes mornings calm delightful slow busy day harsh,great wake up taste, great coffee,"{'rouge1': Score(precision=0.5, recall=0.25, fmeasure=0.3333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=0.25, fmeasure=0.3333333333333333)}",0.75,0.51755524,0.4391336,0.36071193,0.5175553,0.249999999375
extract arrived days ordered great service tasted wonderful cookies made,great fast service and great product, great product,"{'rouge1': Score(precision=1.0, recall=0.3333333333333333, fmeasure=0.5), 'rouge2': Score(precision=1.0, recall=0.2, fmeasure=0.33333333333333337), 'rougeL': Score(precision=1.0, recall=0.3333333333333333, fmeasure=0.5)}",0.6666666666666666,0.6644871,0.50571805,0.34694904,0.66448706,0.49999999875
cookies looked tasted either baked would also benefit touch stevia dry fruit,not baked, not bad,"{'rouge1': Score(precision=0.5, recall=0.5, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=0.5, fmeasure=0.5)}",0.5,0.23935473,0.19492397,0.15049307,0.23935486,0.0
got routine eating oatmeal every morning breakfast four months ago great purchase given price home delivery subscribe save option amazing,love it, great cereal,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.11006564,0.3425676,0.5750696,0.1100656,0.0
exercise regularly want aspartame whey protein decided add dry milk powder milk boost protein content wow taste great,great taste, great taste,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}",0.0,1.0,0.6687323,0.33746463,1.0,0.999999995
best choice tried several options choice based taste smell hard resist stay away brew coffee morning recommend product,best choice so far, best coffee,"{'rouge1': Score(precision=0.5, recall=0.25, fmeasure=0.3333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=0.25, fmeasure=0.3333333333333333)}",0.75,0.30825093,0.44399798,0.57974494,0.30825102,0.249999999375
great taste package enough two cups water less depending concentrated want drink therefore enough powder cups think pretty good sweet bland distinct mango pineapple tropical taste,tastes great, good stuff,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.5721475,0.42440826,0.2766689,0.5721476,0.0
almost tastes like mini blueberry pie love one favorite thoroughly fallen love,excellent love the blueberry pecan, great,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.3936245,0.31017178,0.2267192,0.39362437,0.0
price high product great possible touch price would make even better,in sea salt, good price,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.037044242,0.26814163,0.49923906,0.037044182,0.0
delicious best snack bars happy made natural ingredients filler soy healthy snack lots fiber,delish, delicious,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.3758818,0.42901862,0.48215553,0.37588173,0.0
dog loves lickety stik bacon flavor since likes much plan getting flavors great liquid treat dog highly recommend lickety stik,great dog treat, my dog loves these,"{'rouge1': Score(precision=0.25, recall=0.3333333333333333, fmeasure=0.28571428571428575), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=0.3333333333333333, fmeasure=0.28571428571428575)}",1.0,0.56402755,0.5470705,0.5301136,0.5640275,0.249999999375
took chance expecting oz least ox oz size description conveniently size label,in please, not as pictured,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.5,0.28679764,0.16709812,0.047398515,0.28679773,0.0
order mom time tasted moist delicious coffee cake standard coffee cakes cannot say enough product sweet eater overly sweet wonderful,no the best, great coffee,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.1309745,0.34534585,0.5597172,0.13097453,0.0
pricey essentially small bag hard crumbs maybe dog spoiled treats like third class treats definitely bottom doggie treat often simply walk away glad people like buying,waste of money, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.19218016,0.23649648,0.28081274,0.19218023,0.0
good healthy well priced buy bulk found prefer white cheddar version better though,pretty good, good stuff,"{'rouge1': Score(precision=0.5, recall=0.5, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=0.5, fmeasure=0.5)}",1.0,0.6447774,0.51356196,0.38234663,0.64477736,0.3333333322222222
like bold coffee bit disappointed bother stomach like like nice bold cup coffee cannot drink coffee bothers much pretty good substitute regular smooth little weak,weak but did not bother my stomach, great coffee,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.0033804718,0.2985263,0.59367216,0.0033803955,0.0
since ordered trying first offering periodically never honestly blame pretty gross,the pack threw most of them out, horrible,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.2009986,0.21327019,0.22554182,0.20099854,0.0
cold find local stores one favorite snacks calories per pack excellent price,chex calorie snack, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.2509193,0.25047374,0.2500282,0.25091925,0.0
best flavor dr smoothie makes flavors good natural one best great taste pineapple hint coconut,best dr smoothie, great taste,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.4493368,0.4752105,0.50108427,0.4493367,0.0
like strong coffee coffee rated found weak sickening taste,disapointed, not good,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",2.0,0.23869461,0.32280797,0.40692133,0.23869461,0.0
saw peanut butter chocolate cereal knew try pleased eat chocolate breakfast feel guilty two kids love cereal well great eat alone favorite milk product yogurt mix homemade granola well,the yummy, delicious,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.69675624,0.5494426,0.40212893,0.69675624,0.0
fairly new haribo candy gummies fantastic twist gummi staple cola bottle crystallized lemony sugar outside sugar kind fine go every enough,these are soo good lemon lovers, delicious,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.46264154,0.4219846,0.3813277,0.46264154,0.0
true also need decent scale tried caviar recipe everything worked perfectly first try fun easy make kit comes large enough samples looks like good uses,great to, great product,"{'rouge1': Score(precision=0.5, recall=0.5, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=0.5, fmeasure=0.5)}",0.5,0.5725859,0.5270121,0.48143828,0.57258594,0.4999999975
enjoy sparkling ice talking rain discovered first time florida limited supply live many stores carry lemonade difficult find crisp refreshing love carbonation fruit balance,love lemonade sparkling ice, great taste,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.52005905,0.4469941,0.37392908,0.5200591,0.0
tulsi green tea great good iced tea well,green tea, great tea,"{'rouge1': Score(precision=0.5, recall=0.5, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=0.5, fmeasure=0.5)}",0.5,0.78301156,0.7806424,0.7782732,0.78301156,0.3333333322222222
like tomatoes fresh flavorful also come carton welcome alternative metal cans impart flavor sometimes lined plastic containing,yummy tomatoes good packaging, not as described,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.064728916,0.070108205,0.075487524,0.064728886,0.0
say agree first reviewer really good experience product buying friend came quickly product unique something everyone use customer service outstanding,fantastic, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",2.0,0.55559343,0.55635893,0.5571243,0.5555936,0.0
searched google found cups price reasonable exceptionally fast delivery pleased order,green mountain cup breakfast blend, great coffee,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.5966456,0.45745298,0.3182605,0.5966455,0.0
chips really good crisp delicious favorite flavor salt pepper second garlic parm good calories small bag bad say,amazing chips, great chips,"{'rouge1': Score(precision=0.5, recall=0.5, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=0.5, fmeasure=0.5)}",0.5,0.9666398,0.81918603,0.6717322,0.9666399,0.3333333322222222
older shih tzu weight starting hip problems bought treats hide daily pills perfect soft around pills easily also easy chop smaller pieces use training treats,love these treats, my dog loves these,"{'rouge1': Score(precision=0.5, recall=0.6666666666666666, fmeasure=0.5714285714285715), 'rouge2': Score(precision=0.3333333333333333, recall=0.5, fmeasure=0.4), 'rougeL': Score(precision=0.5, recall=0.6666666666666666, fmeasure=0.5714285714285715)}",1.3333333333333333,0.51566917,0.35191047,0.18815164,0.5156693,0.0
