original_text,original_summary,predicted_summary
daughter used quaker instant oatmeal liked lot long time ago tried version like fact want finish sure maybe lots new ingredients artificial,not very good, dog market
liked coffee much subscribing dark rich smooth,makes great cup of java, dog market
like fool ordered box instead bag try disgusting smell like dead fish rinsed rinsed still smelled right light even look purple crack cannot believe stupid buy,gross, dog market
flavorful packaged soup long time nice spicy taste good blend herbs cannot wait becomes available stores,delicious treat, dog market
taste like pop refreshing mouth liked healthier pop great taste refreshing,very good, dog market
really good snack pricey worth get em bulk start keep car great bike rides forget,kind bar, dog market
way make pho need beef bones add soup base set even better restaurant,this is the only way make, dog market
husband able tolerate taste felt decent amount energy could stomach taste felt energy,energy, dog market
know wrong food cats could eat tried would start chewing would fall mouths tried hour avail know size food seem dislike taste could eat,cats could not eat it, dog market
high quality right amount suger well done,high quality, dog market
waste money disgusting product chocolate taste tastes like plastic lining paper carton using milk treated ultra high temperatures like fresh milk go get fresh milk hershey syrup want chocolate milk,please do not waste your money, dog market
dogs love sweet potato chew agreed isnt chewy little nice two little shih tzu usually eat ish minutes dogs love taste love healthy,yummy healthy, dog market
ordering herr paying shipping amazon amazon prime wide selection amazon herr okay heinz chips makes none better,off the, dog market
love larabars first discovered giving free event loved since good,yum, dog market
blend bitter wake mild end makes mornings calm delightful slow busy day harsh,great wake up taste, dog market
extract arrived days ordered great service tasted wonderful cookies made,great fast service and great product, dog market
cookies looked tasted either baked would also benefit touch stevia dry fruit,not baked, dog market
got routine eating oatmeal every morning breakfast four months ago great purchase given price home delivery subscribe save option amazing,love it, dog market
exercise regularly want aspartame whey protein decided add dry milk powder milk boost protein content wow taste great,great taste, dog market
best choice tried several options choice based taste smell hard resist stay away brew coffee morning recommend product,best choice so far, dog market
great taste package enough two cups water less depending concentrated want drink therefore enough powder cups think pretty good sweet bland distinct mango pineapple tropical taste,tastes great, dog market
almost tastes like mini blueberry pie love one favorite thoroughly fallen love,excellent love the blueberry pecan, dog market
price high product great possible touch price would make even better,in sea salt, dog market
delicious best snack bars happy made natural ingredients filler soy healthy snack lots fiber,delish, dog market
dog loves lickety stik bacon flavor since likes much plan getting flavors great liquid treat dog highly recommend lickety stik,great dog treat, dog market
took chance expecting oz least ox oz size description conveniently size label,in please, dog market
