
================================================================================
ROUGE-L Metric Report - Sorted by ROUGE-L (Descending)
================================================================================
Generated: 2025-02-27 18:58:15
Total Models/Instances: 15

================================================================================
Rank  | Model                | Instance                                 | ROUGE-L    | Other Metrics
--------------------------------------------------------------------------------
1     | Seq2SeqGRU           | Seq2SeqGRU_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size128_epochs50_summaries | 0.0000     | Rouge1: 0.1656, Rouge2: 0.0417, Wer: 1.0916, Cosine: 0.4294, Myevaluation: 0.3289
2     | Seq2SeqGRU           | Seq2SeqGRU_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size256_epochs50_summaries | 0.0000     | Rouge1: 0.1290, Rouge2: 0.0255, Wer: 1.1170, Cosine: 0.3899, Myevaluation: 0.2811
3     | Seq2SeqGRU           | Seq2SeqGRU_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size64_epochs50_summaries | 0.0000     | Rouge1: 0.1884, Rouge2: 0.0563, Wer: 1.1173, Cosine: 0.4445, Myevaluation: 0.3386
4     | Seq2SeqLSTM          | Seq2SeqLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size128_epochs50_summaries | 0.0000     | Rouge1: 0.1702, Rouge2: 0.0453, Wer: 1.0826, Cosine: 0.4400, Myevaluation: 0.3342
5     | Seq2SeqLSTM          | Seq2SeqLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size256_epochs50_summaries | 0.0000     | Rouge1: 0.1629, Rouge2: 0.0407, Wer: 1.0963, Cosine: 0.4374, Myevaluation: 0.3317
6     | Seq2SeqLSTM          | Seq2SeqLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size64_epochs50_summaries | 0.0000     | Rouge1: 0.1607, Rouge2: 0.0454, Wer: 1.1331, Cosine: 0.4266, Myevaluation: 0.3241
7     | Seq2SeqLSTMGlove     | Seq2SeqLSTMGlove_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size128_epochs50_summaries | 0.0000     | Rouge1: 0.1798, Rouge2: 0.0472, Wer: 1.0877, Cosine: 0.4314, Myevaluation: 0.3369
8     | Seq2SeqLSTMGlove     | Seq2SeqLSTMGlove_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size256_epochs50_summaries | 0.0000     | Rouge1: 0.1927, Rouge2: 0.0562, Wer: 1.0803, Cosine: 0.4467, Myevaluation: 0.3500
9     | Seq2SeqLSTMGlove     | Seq2SeqLSTMGlove_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size64_epochs50_summaries | 0.0000     | Rouge1: 0.1861, Rouge2: 0.0519, Wer: 1.1131, Cosine: 0.4378, Myevaluation: 0.3454
10    | Seq2SeqBiLSTM        | Seq2SeqBiLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size128_epochs50_summaries | 0.0000     | Rouge1: 0.2240, Rouge2: 0.0696, Wer: 1.0647, Cosine: 0.4631, Myevaluation: 0.3593
11    | Seq2SeqBiLSTM        | Seq2SeqBiLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size256_epochs50_summaries | 0.0000     | Rouge1: 0.2075, Rouge2: 0.0575, Wer: 1.0895, Cosine: 0.4431, Myevaluation: 0.3426
12    | Seq2SeqBiLSTM        | Seq2SeqBiLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size64_epochs50_summaries | 0.0000     | Rouge1: 0.2416, Rouge2: 0.0738, Wer: 1.0187, Cosine: 0.4731, Myevaluation: 0.3719
13    | Seq2Seq3BiLSTM       | Seq2Seq3BiLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size128_epochs50_summaries | 0.0000     | Rouge1: 0.1564, Rouge2: 0.0411, Wer: 1.1440, Cosine: 0.4189, Myevaluation: 0.3131
14    | Seq2Seq3BiLSTM       | Seq2Seq3BiLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size256_epochs50_summaries | 0.0000     | Rouge1: 0.1665, Rouge2: 0.0435, Wer: 1.1382, Cosine: 0.4318, Myevaluation: 0.3230
15    | Seq2Seq3BiLSTM       | Seq2Seq3BiLSTM_optimizerAdam_lr0.001_ed512_ld256_do0.2_drdo0.2_edo0.2_erdo0.2_batch_size64_epochs50_summaries | 0.0000     | Rouge1: 0.1588, Rouge2: 0.0383, Wer: 1.1611, Cosine: 0.4198, Myevaluation: 0.3166
